Nº_boletim;data_boletim; Nº_municipio;nome_municipio;seq_logradouros;Nº_logradouro;tipo_logradouro;nome_logradouro;tipo_logradouro_anterior;nome_logradouro_anterior;Nº_bairro;nome_bairro;tipo_bairro;descricao_tipo_bairro;Nº_imovel;Nº_imovel_proximo
2020-030715521-001;26/06/2020 19:08;1;BELO HORIZONTE                ;2;116909;RUA;NASCIP LAKTIN                                     ;RUA;G                                                 ;763;SANTA CRUZ                                        ;B ;BAIRRO                        ;0;0
2020-044723014-001;15/09/2020 16:16;1;BELO HORIZONTE                ;1;116952;RUA;DO PASSARO PRETO                                  ;RUA;VINTE E QUATRO                                    ;603;ALTO CAICARAS                                     ;B ;BAIRRO                        ;43;0
2020-036534899-001;30/06/2020 19:00;1;BELO HORIZONTE                ;1;117016;RUA;DO TICO TICO                                      ;RUA;DEZESSEIS                                         ;628;CAICARAS                                          ;B ;BAIRRO                        ;0;0
2020-042893657-001;04/09/2020 19:34;1;BELO HORIZONTE                ;2;116000;AVE;OLAVO BRASIL JUNIOR                               ;AVE;A                                                 ;827;TREVO                                             ;B ;BAIRRO                        ;0;0
2020-062406310-002;29/12/2020 06:16;1;BELO HORIZONTE                ;1;116101;AVE;SEBASTIAO DE BRITO                                ;AVE;UM                                                ;662;DONA CLARA                                        ;B ;BAIRRO                        ;640;0
2020-060637482-001;15/12/2020 00:30;1;BELO HORIZONTE                ;1;116101;AVE;SEBASTIAO DE BRITO                                ;AVE;UM                                                ;662;DONA CLARA                                        ;B ;BAIRRO                        ;23;0
2020-060487433-001;16/12/2020 20:10;1;BELO HORIZONTE                ;2;116101;AVE;SEBASTIAO DE BRITO                                ;AVE;UM                                                ;773;SANTA ROSA                                        ;B ;BAIRRO                        ;0;0
2020-055997887-001;20/11/2020 12:47;1;BELO HORIZONTE                ;1;116101;AVE;SEBASTIAO DE BRITO                                ;AVE;UM                                                ;662;DONA CLARA                                        ;B ;BAIRRO                        ;307;0
2020-010046810-001;26/02/2020 08:16;1;BELO HORIZONTE                ;1;116101;AVE;SEBASTIAO DE BRITO                                ;AVE;UM                                                ;662;DONA CLARA                                        ;B ;BAIRRO                        ;0;0
2020-015027430-001;26/03/2020 13:15;1;BELO HORIZONTE                ;1;116101;AVE;SEBASTIAO DE BRITO                                ;AVE;UM                                                ;662;DONA CLARA                                        ;B ;BAIRRO                        ;681;0
2020-044544606-001;14/09/2020 16:44;1;BELO HORIZONTE                ;2;116101;AVE;SEBASTIAO DE BRITO                                ;AVE;UM                                                ;662;DONA CLARA                                        ;B ;BAIRRO                        ;0;0
2020-044120289-001;11/09/2020 23:39;1;BELO HORIZONTE                ;1;116101;AVE;SEBASTIAO DE BRITO                                ;AVE;UM                                                ;662;DONA CLARA                                        ;B ;BAIRRO                        ;640;0
2020-035692428-001;25/07/2020 08:54;1;BELO HORIZONTE                ;1;116101;AVE;SEBASTIAO DE BRITO                                ;AVE;UM                                                ;662;DONA CLARA                                        ;B ;BAIRRO                        ;1055;0
2020-024843448-001;22/05/2020 15:00;1;BELO HORIZONTE                ;1;116101;AVE;SEBASTIAO DE BRITO                                ;AVE;UM                                                ;662;DONA CLARA                                        ;B ;BAIRRO                        ;820;0
2020-033459095-001;12/07/2020 19:16;1;BELO HORIZONTE                ;1;116101;AVE;SEBASTIAO DE BRITO                                ;AVE;UM                                                ;662;DONA CLARA                                        ;B ;BAIRRO                        ;0;0
2020-048408884-001;06/10/2020 16:30;1;BELO HORIZONTE                ;1;116101;AVE;SEBASTIAO DE BRITO                                ;AVE;UM                                                ;662;DONA CLARA                                        ;B ;BAIRRO                        ;1415;0
2020-032075509-001;04/07/2020 19:22;1;BELO HORIZONTE                ;1;116101;AVE;SEBASTIAO DE BRITO                                ;AVE;UM                                                ;662;DONA CLARA                                        ;B ;BAIRRO                        ;0;0
2020-020659780-001;01/05/2020 09:11;1;BELO HORIZONTE                ;1;116101;AVE;SEBASTIAO DE BRITO                                ;AVE;UM                                                ;662;DONA CLARA                                        ;B ;BAIRRO                        ;431;0
2020-019818154-001;26/04/2020 13:09;1;BELO HORIZONTE                ;1;116101;AVE;SEBASTIAO DE BRITO                                ;AVE;UM                                                ;662;DONA CLARA                                        ;B ;BAIRRO                        ;0;0
2020-040177207-001;20/08/2020 11:20;1;BELO HORIZONTE                ;1;116101;AVE;SEBASTIAO DE BRITO                                ;AVE;UM                                                ;662;DONA CLARA                                        ;B ;BAIRRO                        ;640;0
2020-040139611-001;20/08/2020 07:00;1;BELO HORIZONTE                ;1;116101;AVE;SEBASTIAO DE BRITO                                ;AVE;UM                                                ;662;DONA CLARA                                        ;B ;BAIRRO                        ;1185;0
2020-019279664-001;23/04/2020 00:44;1;BELO HORIZONTE                ;2;116101;AVE;SEBASTIAO DE BRITO                                ;AVE;UM                                                ;780;SAO BERNARDO                                      ;B ;BAIRRO                        ;0;0
2020-039320474-001;15/08/2020 15:15;1;BELO HORIZONTE                ;1;116101;AVE;SEBASTIAO DE BRITO                                ;AVE;UM                                                ;662;DONA CLARA                                        ;B ;BAIRRO                        ;135;0
2020-030331977-001;24/06/2020 16:36;1;BELO HORIZONTE                ;1;116101;AVE;SEBASTIAO DE BRITO                                ;AVE;UM                                                ;773;SANTA ROSA                                        ;B ;BAIRRO                        ;0;0
2020-027012489-001;06/06/2020 21:20;1;BELO HORIZONTE                ;1;116101;AVE;SEBASTIAO DE BRITO                                ;AVE;UM                                                ;662;DONA CLARA                                        ;B ;BAIRRO                        ;61;0
2020-052996670-001;03/11/2020 01:08;1;BELO HORIZONTE                ;1;116101;AVE;SEBASTIAO DE BRITO                                ;AVE;UM                                                ;662;DONA CLARA                                        ;B ;BAIRRO                        ;0;0
2020-052743768-001;01/11/2020 06:49;1;BELO HORIZONTE                ;2;116101;AVE;SEBASTIAO DE BRITO                                ;AVE;UM                                                ;780;SAO BERNARDO                                      ;B ;BAIRRO                        ;0;0
2020-015541633-001;30/03/2020 14:18;1;BELO HORIZONTE                ;1;116256;RUA;MINISTRO IVAN LINS                                ;RUA;VINTE E SEIS                                      ;662;DONA CLARA                                        ;B ;BAIRRO                        ;0;0
2020-052304044-002;29/10/2020 12:28;1;BELO HORIZONTE                ;2;116256;RUA;MINISTRO IVAN LINS                                ;RUA;VINTE E SEIS                                      ;662;DONA CLARA                                        ;B ;BAIRRO                        ;0;0
2020-054477426-001;11/11/2020 11:30;1;BELO HORIZONTE                ;1;116256;RUA;MINISTRO IVAN LINS                                ;RUA;VINTE E SEIS                                      ;662;DONA CLARA                                        ;B ;BAIRRO                        ;0;0
2020-015541633-001;30/03/2020 14:18;1;BELO HORIZONTE                ;2;116284;RUA;BOLIVAR MINEIRO                                   ;RUA;TRINTA                                            ;662;DONA CLARA                                        ;B ;BAIRRO                        ;0;0
2020-052304044-002;29/10/2020 12:28;1;BELO HORIZONTE                ;1;116284;RUA;BOLIVAR MINEIRO                                   ;RUA;TRINTA                                            ;662;DONA CLARA                                        ;B ;BAIRRO                        ;0;0
2020-023312134-001;16/05/2020 12:38;1;BELO HORIZONTE                ;1;116284;RUA;BOLIVAR MINEIRO                                   ;RUA;TRINTA                                            ;662;DONA CLARA                                        ;B ;BAIRRO                        ;177;0
2020-054477426-001;11/11/2020 11:30;1;BELO HORIZONTE                ;2;116284;RUA;BOLIVAR MINEIRO                                   ;RUA;TRINTA                                            ;662;DONA CLARA                                        ;B ;BAIRRO                        ;0;0
2020-011412140-001;04/03/2020 22:06;1;BELO HORIZONTE                ;2;116303;RUA;ARISTOTELES RIBEIRO VASCONCELOS                   ;RUA;CINQUENTA                                         ;662;DONA CLARA                                        ;B ;BAIRRO                        ;0;0
2020-047967298-001;03/10/2020 22:26;1;BELO HORIZONTE                ;1;116303;RUA;ARISTOTELES RIBEIRO VASCONCELOS                   ;RUA;CINQUENTA                                         ;773;SANTA ROSA                                        ;B ;BAIRRO                        ;0;0
2020-053254960-001;04/11/2020 13:34;1;BELO HORIZONTE                ;2;114802;RUA;SUZANA FURTADO DE OLIVEIRA                        ;RUA;QUATORZE                                          ;1253;SILVEIRA                                          ;B ;BAIRRO                        ;0;0
2020-053254960-001;04/11/2020 13:34;1;BELO HORIZONTE                ;1;114815;RUA;ANA CARVALHO SILVEIRA                             ;RUA;UM                                                ;1253;SILVEIRA                                          ;B ;BAIRRO                        ;0;0
2020-062770875-001;31/12/2020 12:32;1;BELO HORIZONTE                ;1;114856;RUA;BIAGGIO POLIZZI                                   ;RUA;OITO                                              ;1253;SILVEIRA                                          ;B ;BAIRRO                        ;20;0
2020-060740520-001;18/12/2020 09:39;1;BELO HORIZONTE                ;2;114957;RUA;MARIA CANDIDA DE JESUS                            ;RUA;DOIS                                              ;743;PAQUETA                                           ;B ;BAIRRO                        ;0;0
2020-057244243-001;27/11/2020 19:26;1;BELO HORIZONTE                ;1;114957;RUA;MARIA CANDIDA DE JESUS                            ;RUA;DOIS                                              ;743;PAQUETA                                           ;B ;BAIRRO                        ;0;0
2020-011015816-001;02/03/2020 20:27;1;BELO HORIZONTE                ;2;114957;RUA;MARIA CANDIDA DE JESUS                            ;RUA;DOIS                                              ;743;PAQUETA                                           ;B ;BAIRRO                        ;0;0
2020-058337217-001;04/12/2020 09:05;1;BELO HORIZONTE                ;1;115064;AVE;COSTA DO MARFIM                                   ;RUA;UM                                                ;690;HAVAI                                             ;B ;BAIRRO                        ;0;0
2020-043817542-001;10/09/2020 12:54;1;BELO HORIZONTE                ;2;115064;AVE;COSTA DO MARFIM                                   ;RUA;UM                                                ;690;HAVAI                                             ;B ;BAIRRO                        ;0;0
2020-019333191-001;23/04/2020 12:12;1;BELO HORIZONTE                ;1;115064;AVE;COSTA DO MARFIM                                   ;RUA;UM                                                ;668;ESTRELA DALVA                                     ;B ;BAIRRO                        ;0;0
2020-033660080-001;13/07/2020 19:28;1;BELO HORIZONTE                ;2;115137;RUA;POLYCARPO DE MAGALHAES VIOTTI                     ;RUA;G                                                 ;742;BANDEIRANTES                                      ;B ;BAIRRO                        ;0;0
2020-030040286-001;23/06/2020 07:29;1;BELO HORIZONTE                ;1;115137;RUA;POLYCARPO DE MAGALHAES VIOTTI                     ;RUA;G                                                 ;742;BANDEIRANTES                                      ;B ;BAIRRO                        ;0;0
2020-018128054-001;16/04/2020 07:56;1;BELO HORIZONTE                ;2;115137;RUA;POLYCARPO DE MAGALHAES VIOTTI                     ;RUA;G                                                 ;742;BANDEIRANTES                                      ;B ;BAIRRO                        ;0;0
2020-033660080-001;13/07/2020 19:28;1;BELO HORIZONTE                ;1;115178;RUA;PROFESSOR ALBERTO DEODATO                         ;RUA;J                                                 ;742;BANDEIRANTES                                      ;B ;BAIRRO                        ;0;0
2020-018128054-001;16/04/2020 07:56;1;BELO HORIZONTE                ;1;115178;RUA;PROFESSOR ALBERTO DEODATO                         ;RUA;J                                                 ;742;BANDEIRANTES                                      ;B ;BAIRRO                        ;0;0
2020-051967292-001;26/10/2020 14:40;1;BELO HORIZONTE                ;1;115225;RUA;SEBASTIAO ANTONIO CARLOS                          ;RUA;C                                                 ;742;BANDEIRANTES                                      ;B ;BAIRRO                        ;0;0
2020-052874501-001;02/11/2020 09:03;1;BELO HORIZONTE                ;1;115225;RUA;SEBASTIAO ANTONIO CARLOS                          ;RUA;C                                                 ;742;BANDEIRANTES                                      ;B ;BAIRRO                        ;0;0
2020-009099310-001;20/02/2020 19:40;1;BELO HORIZONTE                ;1;115279;AVE;ORSI CONCEICAO MINAS                              ;AVE;PERIMETRAL                                        ;742;BANDEIRANTES                                      ;B ;BAIRRO                        ;45;0
2020-023099808-001;15/05/2020 08:47;1;BELO HORIZONTE                ;1;115279;AVE;ORSI CONCEICAO MINAS                              ;AVE;PERIMETRAL                                        ;742;BANDEIRANTES                                      ;B ;BAIRRO                        ;221;0
2020-021307152-001;05/05/2020 06:44;1;BELO HORIZONTE                ;1;115279;AVE;ORSI CONCEICAO MINAS                              ;AVE;PERIMETRAL                                        ;742;BANDEIRANTES                                      ;B ;BAIRRO                        ;0;0
2020-052874501-001;02/11/2020 09:03;1;BELO HORIZONTE                ;2;115279;AVE;ORSI CONCEICAO MINAS                              ;AVE;PERIMETRAL                                        ;742;BANDEIRANTES                                      ;B ;BAIRRO                        ;0;0
2020-018348201-001;17/04/2020 10:21;1;BELO HORIZONTE                ;1;114500;RUA;ACACIO TELES PEREIRA                              ;RUA;D                                                 ;807;GARCAS                                            ;B ;BAIRRO                        ;0;0
2020-018348201-001;17/04/2020 10:21;1;BELO HORIZONTE                ;2;114525;RUA;ETERVINO TIBURCIO HENRIQUES                       ;RUA;C                                                 ;807;GARCAS                                            ;B ;BAIRRO                        ;0;0
2020-008169613-001;16/02/2020 09:04;1;BELO HORIZONTE                ;1;114701;RUA;ILACIR PEREIRA LIMA                               ;RUA;TRES                                              ;1253;SILVEIRA                                          ;B ;BAIRRO                        ;0;0
2020-021780410-001;07/05/2020 18:24;1;BELO HORIZONTE                ;1;115584;RUA;ZINIA                                             ;RUA;VINTE E TRES                                      ;690;HAVAI                                             ;B ;BAIRRO                        ;0;0
2020-048445447-001;06/10/2020 19:52;1;BELO HORIZONTE                ;1;115584;RUA;ZINIA                                             ;RUA;VINTE E TRES                                      ;690;HAVAI                                             ;B ;BAIRRO                        ;235;0
2020-019746550-001;25/04/2020 20:55;1;BELO HORIZONTE                ;2;115584;RUA;ZINIA                                             ;RUA;VINTE E TRES                                      ;690;HAVAI                                             ;B ;BAIRRO                        ;0;0
2020-021918555-002;12/04/2020 19:17;1;BELO HORIZONTE                ;1;115760;RUA;MALVA                                             ;RUA;NOVE                                              ;690;HAVAI                                             ;B ;BAIRRO                        ;88;0
2020-046806243-001;27/09/2020 09:57;1;BELO HORIZONTE                ;1;113995;RUA;PEDRA PRECIOSA                                    ;RUA;SETE                                              ;818;RIO BRANCO                                        ;B ;BAIRRO                        ;0;0
2020-017912722-001;14/04/2020 19:50;1;BELO HORIZONTE                ;1;114005;RUA;PEDRA CORAL                                       ;RUA;VINTE E SEIS                                      ;790;PIRATININGA                                       ;B ;BAIRRO                        ;109;0
2020-021169346-001;04/05/2020 13:02;1;BELO HORIZONTE                ;1;114018;RUA;IZAURA PEREIRA ALMEIDA                            ;RUA;VINTE E SEIS                                      ;712;LETICIA                                           ;B ;BAIRRO                        ;11;0
2020-014374724-001;21/03/2020 17:22;1;BELO HORIZONTE                ;1;77670;AVE;HORACIO TERENA GUIMARAES                          ;AVE;A                                                 ;643;CEU AZUL                                          ;B ;BAIRRO                        ;0;0
2020-044312153-001;13/09/2020 09:02;1;BELO HORIZONTE                ;1;77670;AVE;HORACIO TERENA GUIMARAES                          ;AVE;A                                                 ;643;CEU AZUL                                          ;B ;BAIRRO                        ;121;0
2020-024249371-002;21/05/2020 19:09;1;BELO HORIZONTE                ;1;77670;AVE;HORACIO TERENA GUIMARAES                          ;AVE;A                                                 ;827;TREVO                                             ;B ;BAIRRO                        ;315;0
2020-050407431-001;17/10/2020 20:30;1;BELO HORIZONTE                ;2;77670;AVE;HORACIO TERENA GUIMARAES                          ;AVE;A                                                 ;643;CEU AZUL                                          ;B ;BAIRRO                        ;0;0
2020-033855891-001;14/07/2020 21:42;1;BELO HORIZONTE                ;1;77670;AVE;HORACIO TERENA GUIMARAES                          ;AVE;A                                                 ;643;CEU AZUL                                          ;B ;BAIRRO                        ;288;0
2020-020820403-001;02/05/2020 08:23;1;BELO HORIZONTE                ;1;77670;AVE;HORACIO TERENA GUIMARAES                          ;AVE;A                                                 ;827;TREVO                                             ;B ;BAIRRO                        ;581;0
2020-019575430-001;24/04/2020 16:36;1;BELO HORIZONTE                ;1;77670;AVE;HORACIO TERENA GUIMARAES                          ;AVE;A                                                 ;643;CEU AZUL                                          ;B ;BAIRRO                        ;0;0
2020-055209265-001;15/11/2020 21:35;1;BELO HORIZONTE                ;1;77670;AVE;HORACIO TERENA GUIMARAES                          ;AVE;A                                                 ;827;TREVO                                             ;B ;BAIRRO                        ;495;0
2020-036615531-001;30/07/2020 19:21;1;BELO HORIZONTE                ;1;77670;AVE;HORACIO TERENA GUIMARAES                          ;AVE;A                                                 ;643;CEU AZUL                                          ;B ;BAIRRO                        ;572;0
2020-019654810-001;25/04/2020 09:05;1;BELO HORIZONTE                ;2;76410;RUA;QUATRO                                            ;RUA;QUATRO MIL TREZENTOS E OITENTA E CINCO            ;610;DAS INDUSTRIAS                                    ;B ;BAIRRO                        ;0;0
2020-043364845-001;08/09/2020 01:05;1;BELO HORIZONTE                ;1;76463;RUA;TRES                                              ;RUA;TREZENTOS E CINQUENTA E SETE                      ;714;LINDEIA                                           ;B ;BAIRRO                        ;0;0
2020-008861771-001;19/02/2020 18:06;1;BELO HORIZONTE                ;1;76640;VIA;LIGACAO BR DUZENTOS E SESSENTA E DOIS SABARA      ;NI ;N?O INFORMADO                                     ;812;GOIANIA                                           ;B ;BAIRRO                        ;309;0
2020-005986018-001;26/01/2020 17:00;1;BELO HORIZONTE                ;1;76640;VIA;LIGACAO BR DUZENTOS E SESSENTA E DOIS SABARA      ;NI ;N?O INFORMADO                                     ;1660;VILA DA LUZ                                       ;B ;BAIRRO                        ;0;0
2020-044096300-001;06/09/2020 14:40;1;BELO HORIZONTE                ;1;76640;VIA;LIGACAO BR DUZENTOS E SESSENTA E DOIS SABARA      ;NI ;N?O INFORMADO                                     ;1660;VILA DA LUZ                                       ;B ;BAIRRO                        ;1;0
2020-049423011-001;12/10/2020 19:56;1;BELO HORIZONTE                ;1;76640;VIA;LIGACAO BR DUZENTOS E SESSENTA E DOIS SABARA      ;NI ;N?O INFORMADO                                     ;812;GOIANIA                                           ;B ;BAIRRO                        ;600;0
2020-048973013-001;09/10/2020 17:34;1;BELO HORIZONTE                ;1;76640;VIA;LIGACAO BR DUZENTOS E SESSENTA E DOIS SABARA      ;NI ;N?O INFORMADO                                     ;812;GOIANIA                                           ;B ;BAIRRO                        ;311;0
2020-047636532-001;01/10/2020 22:22;1;BELO HORIZONTE                ;1;76640;VIA;LIGACAO BR DUZENTOS E SESSENTA E DOIS SABARA      ;NI ;N?O INFORMADO                                     ;812;GOIANIA                                           ;B ;BAIRRO                        ;310;0
2020-040341206-001;21/08/2020 08:56;1;BELO HORIZONTE                ;1;76640;VIA;LIGACAO BR DUZENTOS E SESSENTA E DOIS SABARA      ;NI ;N?O INFORMADO                                     ;812;GOIANIA                                           ;B ;BAIRRO                        ;316;0
2020-055883517-001;19/11/2020 18:26;1;BELO HORIZONTE                ;1;76640;VIA;LIGACAO BR DUZENTOS E SESSENTA E DOIS SABARA      ;NI ;N?O INFORMADO                                     ;812;GOIANIA                                           ;B ;BAIRRO                        ;311;0
2020-006500400-001;07/02/2020 06:38;1;BELO HORIZONTE                ;1;76914;RUA;MADRE GERTRUDES COMENSOLI                         ;RUA;D                                                 ;1391;VILA MADRE GERTRUDES I                            ;B ;BAIRRO                        ;31;0
2021-008955978-001;01/07/2020 18:00;1;BELO HORIZONTE                ;1;75776;PCA;DEPUTADO JOSE RAIMUNDO                            ;NI ;N?O INFORMADO                                     ;805;TIROL                                             ;B ;BAIRRO                        ;0;0
2020-049608527-001;13/10/2020 18:45;1;BELO HORIZONTE                ;1;75776;PCA;DEPUTADO JOSE RAIMUNDO                            ;NI ;N?O INFORMADO                                     ;805;TIROL                                             ;B ;BAIRRO                        ;0;0
2020-032534285-001;06/07/2020 11:40;1;BELO HORIZONTE                ;1;75836;RUA;GABRIELA DE MELO                                  ;RUA;MARTE                                             ;737;OLHOS D'AGUA                                      ;B ;BAIRRO                        ;70;0
2020-047356101-001;30/09/2020 13:35;1;BELO HORIZONTE                ;2;76132;RUA;PESCARA                                           ;NI ;N?O INFORMADO                                     ;742;BANDEIRANTES                                      ;B ;BAIRRO                        ;0;0
2020-027706683-001;10/06/2020 13:44;1;BELO HORIZONTE                ;1;76306;PCA;PAULO GUSTAVO DO VALE                             ;PCA;SEM NOME                                          ;742;BANDEIRANTES                                      ;B ;BAIRRO                        ;6683;0
2020-014045961-001;19/03/2020 13:14;1;BELO HORIZONTE                ;1;76321;RUA;DOS CRENAQUES                                     ;NI ;N?O INFORMADO                                     ;818;RIO BRANCO                                        ;B ;BAIRRO                        ;46;0
2020-029369663-001;19/06/2020 11:56;1;BELO HORIZONTE                ;1;75344;PCA;DA LAVADEIRA                                      ;NI ;N?O INFORMADO                                     ;646;COLEGIO BATISTA                                   ;B ;BAIRRO                        ;0;0
2020-007869608-001;13/02/2020 20:23;1;BELO HORIZONTE                ;2;74225;RUA;LUIZ CANTAGALLI                                   ;RUA;MARCO AURELIO                                     ;643;CEU AZUL                                          ;B ;BAIRRO                        ;0;0
2020-057934898-001;01/12/2020 22:41;1;BELO HORIZONTE                ;2;74300;RUA;TIPUANA                                           ;RUA;UM                                                ;688;JULIANA                                           ;B ;BAIRRO                        ;0;0
2020-051839888-002;26/10/2020 22:13;1;BELO HORIZONTE                ;1;74300;RUA;TIPUANA                                           ;RUA;UM                                                ;688;JULIANA                                           ;B ;BAIRRO                        ;24;0
2020-023116261-001;15/05/2020 12:11;1;BELO HORIZONTE                ;1;74300;RUA;TIPUANA                                           ;RUA;UM                                                ;688;JULIANA                                           ;B ;BAIRRO                        ;34;0
2020-029015509-001;17/06/2020 15:43;1;BELO HORIZONTE                ;1;302200;BEC;AGUA DOCE DO MANTENA                              ;NI ;N?O INFORMADO                                     ;1493;JARDIM LEBLON                                     ;B ;BAIRRO                        ;0;0
2020-055829929-001;18/11/2020 11:00;1;BELO HORIZONTE                ;2;302210;BEC;SANTA MARIA                                       ;NI ;N?O INFORMADO                                     ;646;COLEGIO BATISTA                                   ;B ;BAIRRO                        ;0;0
2020-042693300-001;03/09/2020 20:39;1;BELO HORIZONTE                ;1;302029;RUA;ALTERNADOR                                        ;RUA;TRES                                              ;1166;MINEIRAO                                          ;B ;BAIRRO                        ;0;0
2020-061261518-001;21/12/2020 13:53;1;BELO HORIZONTE                ;2;302041;BEC;DELTA                                             ;NI ;N?O INFORMADO                                     ;707;JOAO PINHEIRO                                     ;B ;BAIRRO                        ;0;0
2020-041493171-001;27/08/2020 19:30;1;BELO HORIZONTE                ;1;302041;BEC;DELTA                                             ;NI ;N?O INFORMADO                                     ;707;JOAO PINHEIRO                                     ;B ;BAIRRO                        ;0;0
2020-052779928-001;01/11/2020 15:07;1;BELO HORIZONTE                ;1;114061;RUA;MARIA LUCIA PETIT                                 ;RUA;DOIS                                              ;818;RIO BRANCO                                        ;B ;BAIRRO                        ;0;0
2020-060805990-001;18/12/2020 16:38;1;BELO HORIZONTE                ;2;114074;RUA;JOSE ANATOLIO FONTES                              ;RUA;UM                                                ;818;RIO BRANCO                                        ;B ;BAIRRO                        ;8;0
2020-061061108-001;20/12/2020 13:05;1;BELO HORIZONTE                ;1;113172;RUA;HELIO VIANA                                       ;NI ;N?O INFORMADO                                     ;1247;TUPI B                                            ;B ;BAIRRO                        ;7;0
2020-057437400-001;29/11/2020 01:32;1;BELO HORIZONTE                ;1;113172;RUA;HELIO VIANA                                       ;NI ;N?O INFORMADO                                     ;1247;TUPI B                                            ;B ;BAIRRO                        ;231;0
2020-056787306-001;25/11/2020 09:48;1;BELO HORIZONTE                ;1;113172;RUA;HELIO VIANA                                       ;NI ;N?O INFORMADO                                     ;1247;TUPI B                                            ;B ;BAIRRO                        ;0;0
2020-022659324-001;12/05/2020 20:18;1;BELO HORIZONTE                ;1;113172;RUA;HELIO VIANA                                       ;NI ;N?O INFORMADO                                     ;1337;LAJEDO                                            ;B ;BAIRRO                        ;0;0
2020-041805910-001;29/08/2020 17:27;1;BELO HORIZONTE                ;1;113387;RUA;ALMERIA                                           ;RUA;QUATORZE                                          ;670;EUROPA                                            ;B ;BAIRRO                        ;0;0
2020-002303889-001;13/01/2020 07:00;1;BELO HORIZONTE                ;1;113608;RUA;GUIDO LEAO                                        ;RUA;B                                                 ;799;SERRA VERDE                                       ;B ;BAIRRO                        ;471;0
2020-007452373-002;12/02/2020 12:39;1;BELO HORIZONTE                ;1;113608;RUA;GUIDO LEAO                                        ;RUA;B                                                 ;799;SERRA VERDE                                       ;B ;BAIRRO                        ;22;0
2020-053573505-001;06/11/2020 07:30;1;BELO HORIZONTE                ;2;113680;RUA;SAO VICENTE                                       ;NI ;N?O INFORMADO                                     ;737;OLHOS D'AGUA                                      ;B ;BAIRRO                        ;0;0
2020-047034773-001;28/09/2020 17:11;1;BELO HORIZONTE                ;2;112719;RUA;FLOR DE FOGO                                      ;NI ;N?O INFORMADO                                     ;713;LIBERDADE                                         ;B ;BAIRRO                        ;0;0
2020-027332710-001;08/06/2020 18:05;1;BELO HORIZONTE                ;2;112719;RUA;FLOR DE FOGO                                      ;NI ;N?O INFORMADO                                     ;713;LIBERDADE                                         ;B ;BAIRRO                        ;0;0
2020-054780234-001;13/11/2020 08:12;1;BELO HORIZONTE                ;2;112721;RUA;ARARIPE                                           ;RUA;CINCO                                             ;812;GOIANIA                                           ;B ;BAIRRO                        ;0;0
2020-058706252-001;06/12/2020 13:42;1;BELO HORIZONTE                ;1;112889;RUA;EXPEDICIONARIO HELIO PEREIRA                      ;RUA;SANTA MONICA                                      ;671;EYMARD                                            ;B ;BAIRRO                        ;0;0
2020-001389315-001;09/01/2020 13:06;1;BELO HORIZONTE                ;1;111583;RUA;IRMA MARIA SOARES                                 ;RUA;VINTE E CINCO                                     ;712;LETICIA                                           ;B ;BAIRRO                        ;85;0
